-------------
Broker Host: localhost
Storage Dir: /Users/nemanja/Desktop/clones
Worker Count: 5
-------------
bid consumer setup for master
About to send winning bid: Bid{job=Repository ( path=vercel/next.js size=2271454 technologies=[] library=async jobId=690d9303-38a4-4d43-96d1-aee834b3fbb5 correlationId=vercel/next.js destination=Repositories), cost=84487.86349414138, workerId='worker_fast_1', jobName='vercel/next.js'}
Bid{job=Repository ( path=Chalarangelo/30-seconds-of-code size=728039 technologies=[] library=express jobId=f9258c92-4dab-4f9d-83ca-22cdfe6e4b7d correlationId=Chalarangelo/30-seconds-of-code destination=Repositories), cost=138963.7000199291, workerId='worker_normal_4', jobName='Chalarangelo/30-seconds-of-code'}
Bid{job=Repository ( path=Chalarangelo/30-seconds-of-code size=728039 technologies=[] library=express jobId=f9258c92-4dab-4f9d-83ca-22cdfe6e4b7d correlationId=Chalarangelo/30-seconds-of-code destination=Repositories), cost=138900.7000199291, workerId='worker_slow_2', jobName='Chalarangelo/30-seconds-of-code'}
Bid{job=Repository ( path=Chalarangelo/30-seconds-of-code size=728039 technologies=[] library=express jobId=f9258c92-4dab-4f9d-83ca-22cdfe6e4b7d correlationId=Chalarangelo/30-seconds-of-code destination=Repositories), cost=74608.38980204657, workerId='worker_normal_5', jobName='Chalarangelo/30-seconds-of-code'}
Bid{job=Repository ( path=Chalarangelo/30-seconds-of-code size=728039 technologies=[] library=express jobId=f9258c92-4dab-4f9d-83ca-22cdfe6e4b7d correlationId=Chalarangelo/30-seconds-of-code destination=Repositories), cost=74578.38980204657, workerId='worker_slow_3', jobName='Chalarangelo/30-seconds-of-code'}
Bid{job=Repository ( path=Chalarangelo/30-seconds-of-code size=728039 technologies=[] library=express jobId=f9258c92-4dab-4f9d-83ca-22cdfe6e4b7d correlationId=Chalarangelo/30-seconds-of-code destination=Repositories), cost=104797.8805757277, workerId='worker_fast_1', jobName='Chalarangelo/30-seconds-of-code'}
About to send winning bid: Bid{job=Repository ( path=Chalarangelo/30-seconds-of-code size=728039 technologies=[] library=express jobId=f9258c92-4dab-4f9d-83ca-22cdfe6e4b7d correlationId=Chalarangelo/30-seconds-of-code destination=Repositories), cost=74578.38980204657, workerId='worker_slow_3', jobName='Chalarangelo/30-seconds-of-code'}
Bid{job=Repository ( path=Chalarangelo/30-seconds-of-code size=728039 technologies=[] library=async jobId=25a67057-51de-4463-a47a-42a3e761a8a3 correlationId=Chalarangelo/30-seconds-of-code destination=Repositories), cost=74708.38980204657, workerId='worker_slow_3', jobName='Chalarangelo/30-seconds-of-code'}
Bid{job=Repository ( path=Chalarangelo/30-seconds-of-code size=728039 technologies=[] library=async jobId=25a67057-51de-4463-a47a-42a3e761a8a3 correlationId=Chalarangelo/30-seconds-of-code destination=Repositories), cost=138945.7000199291, workerId='worker_slow_2', jobName='Chalarangelo/30-seconds-of-code'}
Bid{job=Repository ( path=Chalarangelo/30-seconds-of-code size=728039 technologies=[] library=async jobId=25a67057-51de-4463-a47a-42a3e761a8a3 correlationId=Chalarangelo/30-seconds-of-code destination=Repositories), cost=104781.8805757277, workerId='worker_fast_1', jobName='Chalarangelo/30-seconds-of-code'}
Bid{job=Repository ( path=Chalarangelo/30-seconds-of-code size=728039 technologies=[] library=async jobId=25a67057-51de-4463-a47a-42a3e761a8a3 correlationId=Chalarangelo/30-seconds-of-code destination=Repositories), cost=74605.38980204657, workerId='worker_normal_5', jobName='Chalarangelo/30-seconds-of-code'}
Bid{job=Repository ( path=Chalarangelo/30-seconds-of-code size=728039 technologies=[] library=async jobId=25a67057-51de-4463-a47a-42a3e761a8a3 correlationId=Chalarangelo/30-seconds-of-code destination=Repositories), cost=138932.7000199291, workerId='worker_normal_4', jobName='Chalarangelo/30-seconds-of-code'}
About to send winning bid: Bid{job=Repository ( path=Chalarangelo/30-seconds-of-code size=728039 technologies=[] library=async jobId=25a67057-51de-4463-a47a-42a3e761a8a3 correlationId=Chalarangelo/30-seconds-of-code destination=Repositories), cost=74605.38980204657, workerId='worker_normal_5', jobName='Chalarangelo/30-seconds-of-code'}
Bid{job=Repository ( path=facebook/react-native size=923457 technologies=[] library=express jobId=2241e76e-bf8e-4966-8190-2db53c4b01bb correlationId=facebook/react-native destination=Repositories), cost=143491.44050088333, workerId='worker_slow_2', jobName='facebook/react-native'}
